Free:10, Fixed:3, Dims:3
0.019031191535142,0.038342618800173055,4.024822177479593,0.008377575
0.11465306768637105,-0.9502238196660927,4.0112143858888425,0.008377575
-0.7895609589990155,-0.519026135357054,3.936580588094323,0.008377575
-0.8119114781046013,0.48964950946180585,3.901339329529804,0.008377575
-0.02450414377131067,1.0554205893134487,4.017935926477644,0.008377575
0.8529734302712868,0.6227436870374675,4.080617768578935,0.008377575
0.8908390782492864,-0.3291339589618586,3.854249763146869,0.008377575
-0.1432658530712564,-0.4822674908402557,3.171723302920359,0.008377575
-0.052805924765565504,0.5042438926283822,3.184384768251083,0.008377575
0.7560345403336209,-0.11428838810450893,3.4146360185748286,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,0.5,60,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
