Free:10, Fixed:3, Dims:3
0.034963010905917934,-0.028589123785586264,4.016119164535323,0.008377575
0.1779366642100848,-1.0341919765551668,4.099780933733466,0.008377575
-0.6230473675621571,-0.577934822121396,4.4405071841602215,0.008377575
-0.8913725474504665,0.31097763420718405,4.036363120049668,0.008377575
-0.11047866891984559,0.9411078018527798,3.9260965014902323,0.008377575
0.8082748891018237,0.5159967585144516,3.9251989342579674,0.008377575
0.9591752270379964,-0.44809672349126367,3.995821497812129,0.008377575
-0.4031909073792307,-0.6276461250301467,3.4110483950954626,0.008377575
-0.38702541077037217,0.3423593989186127,3.17475707194154,0.008377575
0.48529115967874414,-0.13383091702683578,3.173397645498851,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,0.5,60,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
