Free:10, Fixed:3, Dims:3
0.007273847825493254,-0.04457544202363052,4.016119181298637,0.008377575
-0.0915307906951739,-1.0547200337004214,3.995821651435854,0.008377575
-0.8510085417473187,-0.44198833014480443,3.9251988506064444,0.008377575
-0.7597869539641806,0.5662305433464255,3.9260948423361324,0.008377575
0.1763687803440006,0.9274374262146017,4.036365990185719,0.008377575
0.8120272740038778,0.25060303228164876,4.440507107654112,0.008377575
0.8066630264135306,-0.6711981586683099,4.099780769252292,0.008377575
-0.1267494294345518,-0.4871909849448279,3.1733976581455274,0.008377575
-0.102979937325397,0.5063527842073626,3.1747577538950904,0.008377575
0.7451500571906825,0.035346141871062005,3.4110484572024857,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,0.5,60,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
