XPOS
0.00000	0.00000	0.00000	
1.60000	-0.45000	0.19963	
0.00000	0.00000	4.00000	
0.00000	0.00000	4.00000	
-0.23227	-0.40231	4.31095	
-0.21058	-1.40168	4.48513	
-1.10859	-0.88323	4.48512	
-1.06556	0.11358	4.28420	
-0.26382	0.52548	3.84379	
0.58697	0.03430	3.84379	
0.63115	-0.86600	4.28417	
-0.66034	-1.14378	3.66719	
-0.70333	-0.21514	3.40840	
0.16534	-0.71664	3.40838	
-0.28868	-0.50000	4.81650	
-0.28868	0.50000	4.81650	
0.57735	0.00000	4.81650	
XORIEN
1.00000	0.00000	0.00000	0.00000	
1.00000	0.00000	0.00000	0.00000	
0.00000	0.00000	1.00000	0.00000	
-0.00000	0.70711	-0.70711	0.00000	
0.01214	0.70705	-0.70705	0.00325	
0.02430	0.70715	-0.70661	0.00729	
0.02469	0.70661	-0.70715	0.00583	
0.01250	0.70681	-0.70728	0.00412	
0.01191	0.70654	-0.70756	0.00320	
0.01191	0.70756	-0.70654	0.00318	
0.01288	0.70728	-0.70681	0.00268	
0.02951	0.70678	-0.70678	0.00791	
0.02325	0.70632	-0.70748	0.00640	
0.02334	0.70748	-0.70632	0.00608	
-0.00000	0.70711	-0.70711	0.00000	
-0.00000	0.70711	-0.70711	0.00000	
-0.00000	0.70711	-0.70711	0.00000	
